Rock Type,SIO2,CAO,AL2O3,MGO
LHERZOLITE,43.2,1.84,1.7,52.1586
LHERZOLITE,45.2,1.65,2.115,50.91
LHERZOLITE,44.4,1.57,1.72,50.29999
LHERZOLITE,43.75,1.57,1.72,50.81312
LHERZOLITE,43.04,0.94,1.73,52.65696
LHERZOLITE,44,1.39,1.73,51.42141
LHERZOLITE,42.69,1.91,2.028,53.12
LHERZOLITE,46.05,1.72,1.73,49.98
LHERZOLITE,44.65,1.46,1.74,50.13574
LHERZOLITE,43.5,1.65,1.74,51.8
LHERZOLITE,44.5,0.5,1.75,50.75698
LHERZOLITE,42.92,1.67,2.65,50.92476
LHERZOLITE,44.2,1.58,1.76,49.37
LHERZOLITE,48.14,0.91,1.76,46.99
LHERZOLITE,44.78,2.46,1.76,49.10018
LHERZOLITE,44.71,1.54,1.76,51.44322
LHERZOLITE,43.27,1.77,1.77,50.13717
LHERZOLITE,42.56,1.61,1.77,51.82799
LHERZOLITE,43.8,1.49,1.77,51.42426
LHERZOLITE,44.4,2.49,1.78,49.13473
LHERZOLITE,43.6,1.62,1.79,50.20887
LHERZOLITE,46,2.05,1.79,48.34161
LHERZOLITE,42.31,1.78,1.79,53.14
LHERZOLITE,43.9,2.41,2.28,50.49425
LHERZOLITE,43.06,1.5,2.21,50.51183
LHERZOLITE,43.75,1.81,1.8,50.89951
LHERZOLITE,45.6,2.5,1.8,48.77375
LHERZOLITE,47.96,0.9,1.8,48.73
LHERZOLITE,44.46,2.81,1.8,50.6609
LHERZOLITE,43.8,1.94,1.8,53.2182
LHERZOLITE,44.8,1.59,1.81,50.22424
LHERZOLITE,44.68,1.52,1.81,50.15
LHERZOLITE,43.89,1.26,1.81,52.42
LHERZOLITE,45.06,4.62,1.81,47.79
LHERZOLITE,44.71,1.63,2.26,53.1615
LHERZOLITE,43.75,2.13,1.82,50.67
LHERZOLITE,42.9,2.18,2.19,52.02143
LHERZOLITE,45.02,1.53,1.82,50.53
LHERZOLITE,44.6,1.85,1.83,49.93373
LHERZOLITE,43.87,1.59,1.83,50.88547
LHERZOLITE,38.1,0.61,3.2,43.54705
LHERZOLITE,43.91,2.52,1.84,50.15
LHERZOLITE,43.4,2.28,2.271,49.44433
LHERZOLITE,44.2,1.56,1.85,50.32685
LHERZOLITE,43.88,2.96,1.85,49.55678
LHERZOLITE,53.64,23.43,2.61,20.11
LHERZOLITE,42.26,1.98,1.86,53.27
LHERZOLITE,43.4,1.61,2.153,52.42
LHERZOLITE,56.63,0.67,2.38,40.23
LHERZOLITE,43.23,0.76,1.88,47.2587
LHERZOLITE,44.78,1.35,1.88,50.49412
LHERZOLITE,41.54,1.83,2.14,53.50711
LHERZOLITE,43.9,1,2.28,50.58668
LHERZOLITE,43.4,1.93,2.25,51.4489
LHERZOLITE,42.7,0.72,1.9,51.99655
LHERZOLITE,43.44,1.84,1.9,50.60412
LHERZOLITE,44.17,1.73,1.9,49.90362
LHERZOLITE,43.9,1.62,1.9,51.4014
LHERZOLITE,42.6,0.78,2.09,53.65526
LHERZOLITE,42.8,1.83,1.9,52.79112
LHERZOLITE,44.83,1.8,2.25,47.81
LHERZOLITE,44.81,1.54,2.29,49.54473
LHERZOLITE,44.51,1.22,1.91,50.83443
LHERZOLITE,42.48,1.99,1.91,51.99
LHERZOLITE,45.75,1.61,1.91,49.25342
LHERZOLITE,44.26,0.66,1.92,53.25
LHERZOLITE,43.7,1.73,2.34,49.87042
LHERZOLITE,43.8,2.25,1.94,49.84483
LHERZOLITE,43.98,1.83,2.62,50.60224
LHERZOLITE,43.2,1.82,1.94,52.34395
LHERZOLITE,42.84,1.96,1.95,50.37463
LHERZOLITE,43.44,1.69,2.35,50.05598
LHERZOLITE,40.47,1.58,2.28,53.33567
LHERZOLITE,44.34,1.56,2.33,49.88
LHERZOLITE,44.83,1.89,2.34,49.38
LHERZOLITE,44.2,1.81,1.96,50.77
LHERZOLITE,42.7,1.55,1.96,53.27323
LHERZOLITE,44.56,2.27,1.97,49.7715
LHERZOLITE,43.9,1.96,2.43,50.75597
LHERZOLITE,43.63,1.39,1.98,51.15628
LHERZOLITE,44.15,2.09,1.98,50.26918
LHERZOLITE,44.57,0.96,1.98,49.52
LHERZOLITE,42.74,1.86,2.358,52.67
LHERZOLITE,44.26,2.03,1.99,51.1809
LHERZOLITE,43.99,2.85,2.296,50.48
LHERZOLITE,43.77,1.75,2,51.414372
LHERZOLITE,43.4,1.8,2,51.83546
LHERZOLITE,43.4,1.93,2.35,51.06598
LHERZOLITE,43.68,1.6,2.01,51.91708
LHERZOLITE,43.99,1.73,2.02,50.74989
LHERZOLITE,43.3,2.25,2.03,50.59899
LHERZOLITE,43.17,2.53,2.45,49.05153
LHERZOLITE,44.69,1.75,2.04,50.66
LHERZOLITE,42.62,1.99,2.05,47.30473
LHERZOLITE,44.3,2.09,2.05,48.90321
LHERZOLITE,43.93,1.95,2.05,51.35999
LHERZOLITE,43.94,1.94,2.06,50.81019
LHERZOLITE,44.2,1.98,2.46,50.52334
LHERZOLITE,43.15,2.93,2.08,48.25322
LHERZOLITE,43.69,1.69,2.08,51.1908
LHERZOLITE,43.66,0.09,2.63,52.63233
LHERZOLITE,43.08,1.43,2.09,51.86726
LHERZOLITE,42.45,2.36,2.38,51.03094
LHERZOLITE,42.48,2.38,2.86,51.2476
LHERZOLITE,43.77,2.03,2.457,49.19464
LHERZOLITE,42,0.75,2.1,54.61686
LHERZOLITE,44.92,2.52,2.1,49.87
LHERZOLITE,44.63,2.12,2.5,48.93638
LHERZOLITE,45.51,2.24,2.11,48.86
LHERZOLITE,44.03,1.57,2.59,50.89425
LHERZOLITE,42.71,1.95,2.12,49.82
LHERZOLITE,44.39,2.33,2.12,48.73433
LHERZOLITE,43.5,1.99,2.13,50.06392
LHERZOLITE,44.9,2.59,2.13,48.33928
LHERZOLITE,44.42,2.31,2.49,50.82061
LHERZOLITE,43.72,2.24,2.63,49.24281
LHERZOLITE,45.44,2,2.57,50.35
LHERZOLITE,32.14,3.18,2.15,49.97223
LHERZOLITE,42.78,4.78,2.15,45.71771
LHERZOLITE,44.12,1.41,2.15,50.08554
LHERZOLITE,44.65,2.26,2.15,48.60766
LHERZOLITE,44.12,1.88,2.15,49.9016
LHERZOLITE,43.4,1.43,2.15,52.18296
LHERZOLITE,43.88,1.94,2.16,48.75709
LHERZOLITE,44.3,2.01,2.55,48.99052
LHERZOLITE,43.89,2.35,2.16,50.79
LHERZOLITE,44.4,2.57,2.17,50.55397
LHERZOLITE,44.36,1.85,2.18,49.6217
LHERZOLITE,43.97,3.48,2.481,49.69
LHERZOLITE,43.71,1.8,2.6,49.50587
LHERZOLITE,44.32,1.4,2.62,49.72719
LHERZOLITE,44.27,2.02,2.2,50.59009
LHERZOLITE,44.03,1.98,2.58,49.18618
LHERZOLITE,43.89,2.79,2.21,49.27
LHERZOLITE,44.2,2.78,2.22,47.64705
LHERZOLITE,44.07,2.1,2.74,49.39
LHERZOLITE,44.22,2.81,2.23,49.65
LHERZOLITE,43.22,1.77,2.24,51.34809
LHERZOLITE,45.4,1.92,2.57,49.82
LHERZOLITE,44.7,3.26,2.25,48.04221
LHERZOLITE,44.73,1.82,2.25,50.04
LHERZOLITE,44.02,1.5,2.77,51.68
LHERZOLITE,44.34,2.15,2.69,51.49574
LHERZOLITE,43.8,1.81,2.27,48.4809
LHERZOLITE,44.43,3.17,2.64,46.85214
LHERZOLITE,44.01,2.71,2.27,48.97485
LHERZOLITE,43.62,1.81,2.27,50.81231
LHERZOLITE,43.46,1.83,2.74,50.57959
LHERZOLITE,44.17316953,2.078053659,2.277615346,50.83305446
LHERZOLITE,43.84,1.22,2.28,50.32413
LHERZOLITE,44.69,1.62,2.28,49.76
LHERZOLITE,44.44,1.36,2.706,50.66
LHERZOLITE,44.4,1.94,2.29,49.38
LHERZOLITE,44.92,1.46,2.29,50.31928
LHERZOLITE,43.4,1.6,2.71,51.619
LHERZOLITE,40.6,2.25,2.3,51.56947
LHERZOLITE,44.6,2.02,2.3,49.44142
LHERZOLITE,43.84,2.05,2.31,49.64422
LHERZOLITE,43.44,2.18,2.57,50.73
LHERZOLITE,44.53,1.37,2.742,50.75
LHERZOLITE,44.22,1.64,2.74,49.02
LHERZOLITE,43.97,2.27,2.34,50.05012
LHERZOLITE,42.97,2.2,2.34,50.79373
LHERZOLITE,44.15,2.21,2.87,49.46526
LHERZOLITE,43.12,2.09,2.62,50.65296
LHERZOLITE,44.12,1.8,2.83,50.74283
LHERZOLITE,44.75,2.25,2.35,49.08271
LHERZOLITE,43.29,2.84,2.63,49.21577
LHERZOLITE,43.91,2.46,2.655,50.11
LHERZOLITE,55.5,0.76,2.95,40.35
LHERZOLITE,45,1.77,2.37,49.1698
LHERZOLITE,44.57,1.93,2.37,50.45
LHERZOLITE,43.21,2.35,2.859,49.47
LHERZOLITE,44.86,2,2.38,48.97008
LHERZOLITE,44.6,2.84,2.39,47.11331
LHERZOLITE,44.23,1.93,2.77,49.68
LHERZOLITE,44.69,2.38,2.4,46.32493
LHERZOLITE,44.11,2.12,2.4,49.73807
LHERZOLITE,42.84,3.45,2.822,48.98
LHERZOLITE,44.45,2.51,2.4,47.95186
LHERZOLITE,44.2,2.22,2.41,48.75726
LHERZOLITE,43.9,1.89,2.86,50.15
LHERZOLITE,44.39,1.91,2.41,50.67757
LHERZOLITE,44.82,1.79,3.32,49.33821
LHERZOLITE,44.56,2.2,2.42,48.04857
LHERZOLITE,44.12,2.02,2.42,48.97769
LHERZOLITE,46.62,2.41,2.8,47.7
LHERZOLITE,45.13,1.09,2.43,49.16637
LHERZOLITE,44.34,1.78,2.43,49.73736
LHERZOLITE,44.5,1.94,2.43,49.54372
LHERZOLITE,44.37,1.45,2.92,49.32415
LHERZOLITE,42.89,1.28,2.45,50.86474
LHERZOLITE,44.34,2.27,2.45,49.31021
LHERZOLITE,44.56,2.69,3.1,48.10315
LHERZOLITE,44.59,2.85,2.46,47.77746
LHERZOLITE,45,1.98,2.46,48.79655
LHERZOLITE,43.6,2.21,2.46,50.28567
LHERZOLITE,43.41,2.39,2.93,49.99255
LHERZOLITE,44.93,4.11,2.46,48.23
LHERZOLITE,44.15,1.25,2.47,49.50535
LHERZOLITE,44.13,2.26,2.47,48.55048
LHERZOLITE,44.31,2.18,2.47,48.68937
LHERZOLITE,44.49,2.18,2.47,48.97139
LHERZOLITE,42.8,3.61,2.88,49.30133
LHERZOLITE,46.71,2.36,2.88,47.31
LHERZOLITE,44.44,2.24,2.48,48.68644
LHERZOLITE,43.95,2.04,2.48,49.89414
LHERZOLITE,44.48,3.24,2.92,48.54416
LHERZOLITE,44.13,2.02,2.49,49.49203
LHERZOLITE,43.86,2.12,2.49,50.05686
LHERZOLITE,44.39,2.25,2.5,48.70644
LHERZOLITE,42.05,4.59,2.5,48.57014
LHERZOLITE,42.1,1.77,2.51,50.4604
LHERZOLITE,43.67,1.75,2.82,50.0778
LHERZOLITE,45.25,1.86,2.52,49.59
LHERZOLITE,52.91,21.78,3.34,20
LHERZOLITE,45.13,2.79,2.54,46.47109
LHERZOLITE,44.2,2.66,2.55,48.38
LHERZOLITE,43.82,1.18,2.83,51.61092
LHERZOLITE,44.15,2.79,2.56,48.15
LHERZOLITE,44.94,2.66,2.56,49.69
LHERZOLITE,44.2,2.73,2.57,47.44372
LHERZOLITE,44.6,2.49,2.57,48.10221
LHERZOLITE,44.3,2.67,2.57,48.4
LHERZOLITE,44.45,2.33,2.57,49.32433
LHERZOLITE,45.1,1.6,2.99,49.39
LHERZOLITE,43.99,2.43,2.98,48.37
LHERZOLITE,45.05,2.15,2.58,48.87362
LHERZOLITE,43.03,2.3,2.58,50.87
LHERZOLITE,44.82,2.37,2.58,49.84
LHERZOLITE,44.1,2.36,2.94,52.80292
LHERZOLITE,44.34,1.82,2.59,50.14716
LHERZOLITE,43.81,3.41,3.009,49.63
LHERZOLITE,44.48,2.27,2.95,49.49
LHERZOLITE,43.84,2.34,3.09,50.05021
LHERZOLITE,43.43,2.32,2.6,51.35
LHERZOLITE,44.77,2.12,2.61,48.11291
LHERZOLITE,44.72,2.38,2.61,49.26605
LHERZOLITE,41.6,4.61,2.72,48.26981
LHERZOLITE,44.51,2.68,2.62,49.42
LHERZOLITE,44.05,2.13,3.02,52.56019
LHERZOLITE,44.23,2.78,3.11,48.51688
LHERZOLITE,44.75,2.58,3.02,47.14497
LHERZOLITE,43.81,2.27,2.64,49.75999
LHERZOLITE,43.3,2.21,2.64,50.99
LHERZOLITE,44.5,2.56,2.65,48.44
LHERZOLITE,44.08,2.17,2.65,49.88514
LHERZOLITE,45.61,2.71,2.65,48.64
LHERZOLITE,46.92,3.55,2.65,46.27608
LHERZOLITE,43.3,1.97,2.66,48.83817
LHERZOLITE,44.17,2.31,2.66,48.60473
LHERZOLITE,43.52,2.8,3.004,49.64
LHERZOLITE,44.79,2.26,3,49.14
LHERZOLITE,43.86,2.63,3,50.11
LHERZOLITE,43.08936468,2.195686918,2.666199114,50.80562485
LHERZOLITE,45.6,2.71,2.67,47.07
LHERZOLITE,42.47,2.42,2.67,50.91
LHERZOLITE,44.75,2.19,3.18,48.26524
LHERZOLITE,43.48,3.56,2.68,49.03
LHERZOLITE,44.36,2.32,2.68,50.1
LHERZOLITE,46.11,3.05,2.69,46.42123
LHERZOLITE,43.87,2.73,3.04,49.96
LHERZOLITE,44.3,2.64,2.7,47.34949
LHERZOLITE,44.3,2.31,2.7,48.26614
LHERZOLITE,44.26,2.47,2.7,49.31
LHERZOLITE,45.26,2.48,2.71,47.81614
LHERZOLITE,45.41,2.52,3.1,47.51069
LHERZOLITE,43.92,2.34,3.16,49.34
LHERZOLITE,45.7,2.58,2.71,48.1086
LHERZOLITE,43.98,2.27,2.71,50.23453
LHERZOLITE,43.94,2.49,3.04,51.51343
LHERZOLITE,42.5,4.98,2.72,45.42468
LHERZOLITE,44.6,3.07,2.72,47.66
LHERZOLITE,44.31,2.16,2.95,48.63
LHERZOLITE,44.73,2.18,3.118,49.7
LHERZOLITE,43.56,1.42,2.73,50.16372
LHERZOLITE,45.31,2.28,3.13,48.1
LHERZOLITE,44.48,2.12,3.15,49.04688
LHERZOLITE,46.45,3.06,2.73,47.55
LHERZOLITE,43.54,3.3,2.74,47.39618
LHERZOLITE,43.21,2.01,3.136,49.37
LHERZOLITE,43.78,2.68,2.74,48.64494
LHERZOLITE,44.2,2.61,2.74,48.94301
LHERZOLITE,44.5,2.65,2.74,48.8
LHERZOLITE,44.31,1.93,2.74,49.73352
LHERZOLITE,45.82,2.82,3.071,47.14
LHERZOLITE,46.68,6.39,2.74,43.48
LHERZOLITE,44.6,2.42,3.12,48.12
LHERZOLITE,45.03,2.72,3.15,47.99931
LHERZOLITE,43.06,1.7,2.76,49.66708
LHERZOLITE,44.75,2.12,3.16,47.89
LHERZOLITE,44.45,2.42,2.76,48.7
LHERZOLITE,44.65,2.79,2.76,48.3407
LHERZOLITE,46.45,2.63,2.76,47.77
LHERZOLITE,44.7,1.85,3.1,51.48999
LHERZOLITE,44.3,1.81,2.77,49.2617
LHERZOLITE,43.62,2.5,2.79,49.06231
LHERZOLITE,41.42,4.42,2.79,49.6322
LHERZOLITE,44.1,3.07,2.8,47.67001
LHERZOLITE,44.2,2.6,2.8,49.2
LHERZOLITE,44.84,2.98,2.8,48.64888
LHERZOLITE,42.23,3.76,3.22,48.03677
LHERZOLITE,45.1,3,2.81,47.41575
LHERZOLITE,44.6,2.99,2.82,47.42
LHERZOLITE,44.01,2.16,2.82,49.48029
LHERZOLITE,44.42,2.57,2.82,49.63
LHERZOLITE,44.15,2.18,3.19,49.08
LHERZOLITE,46.62,3.57,2.83,46.11
LHERZOLITE,43.83,2.3,2.83,50.83
LHERZOLITE,44.94,1.16,3.02,49.43274
LHERZOLITE,44.37,2.74,2.84,49.54
LHERZOLITE,45.81,1.45,3.53,48.95
LHERZOLITE,43.8,4.35,2.85,44.94494
LHERZOLITE,44.99,3.1,2.85,46.36083
LHERZOLITE,43.74,2.18,3.56,49.80144
LHERZOLITE,43.94644411,2.369971258,2.856368878,50.00196066
LHERZOLITE,44.41,2.35,2.86,48.21332
LHERZOLITE,42.09,4.18,2.86,48.42
LHERZOLITE,44.01,2.68,3.193,48.81
LHERZOLITE,45.2,2.92,2.86,48.10274
LHERZOLITE,45.07,2.07,3.24,48.63
LHERZOLITE,44.42,2.89,2.87,49.65
LHERZOLITE,44.65,4.25,3.24,49.21807
LHERZOLITE,44.6,2.57,3.29,48.4489
LHERZOLITE,44.22,2.15,2.88,49.71322
LHERZOLITE,45,2.38,2.89,47.59433
LHERZOLITE,44.9,2.77,2.89,47.20887
LHERZOLITE,44.45,2.35,2.89,48.08433
LHERZOLITE,45.55,2.83,2.89,48.39
LHERZOLITE,44.33,2.85,2.9,46.89901
LHERZOLITE,44.5,2.53,3.25,49.10698
LHERZOLITE,44.7,2.91,2.91,47.72
LHERZOLITE,44.54,2.89,3.29,50.52908
LHERZOLITE,44.8,2.76,2.92,47.65637
LHERZOLITE,44.85,7.24,3.31,43.16497
LHERZOLITE,45.8,2.82,2.92,47.58062
LHERZOLITE,43.92,3.56,3.271,48.87
LHERZOLITE,44.18,2.69,3.31,50.68938
LHERZOLITE,43.96,2.58,3.3,47.78456
LHERZOLITE,44.9,2.38,2.93,47.46958
LHERZOLITE,45.38,2.36,2.93,47.32614
LHERZOLITE,44.24,4.19,3.351,47.87
LHERZOLITE,44.2,2.69,3.39,50.98292
LHERZOLITE,44.7,2.88,2.95,47.48
LHERZOLITE,43.97,2.8,2.96,49.17588
LHERZOLITE,44.34,2.54,4.05,48.53658
LHERZOLITE,45.1,3.29,2.97,46.64849
LHERZOLITE,43.64,2.36,3.398,48.21
LHERZOLITE,45.19,2.5,3.41,48.2085
LHERZOLITE,44.38,2.48,3.44,51.50463
LHERZOLITE,43.6,2.58,3.38,48.32052
LHERZOLITE,46.32,3.96,2.99,45.86
LHERZOLITE,44.63,2.6,3,48.04958
LHERZOLITE,44.08,2.23,3.31,48.90162
LHERZOLITE,44.5,2.7,3,48.9
LHERZOLITE,43.8,3.18,3.01,47.69252
LHERZOLITE,44.48,2.55,3.45,48.57
LHERZOLITE,42.38,2.64,3.03,49.26
LHERZOLITE,44.64,2.6,3.03,48.01201
LHERZOLITE,45.16,2.96,3.03,48.45
LHERZOLITE,44.19,3.38,3.424,48.72
LHERZOLITE,44.32,2.43,3.46,47.78685
LHERZOLITE,44.49,2.55,3.52,48.5493
LHERZOLITE,43.56,2.49,3.35,47.97625
LHERZOLITE,44.65,2.6,3.06,48.35605
LHERZOLITE,44.13,2.87,3.41,50.79898
LHERZOLITE,44.9,2.36,3.07,45.23706
LHERZOLITE,44.6,2.62,3.49,47.66799
LHERZOLITE,44.74,2.75,3.55,48.09233
LHERZOLITE,43.84,2.16,3.35,49.98092
LHERZOLITE,43.72,2.22,3.08,48.3111
LHERZOLITE,44.5,2.62,3.08,47.23695
LHERZOLITE,44.54,2.69,3.08,47.43564
LHERZOLITE,41.41,1.91,3.08,50.96192
LHERZOLITE,44.69,2.58,3.08,47.70534
LHERZOLITE,44.45,2.31,3.45,48.75
LHERZOLITE,45.7,3.5,3.08,47.38
LHERZOLITE,44.06,3.57,3.47,48.65
LHERZOLITE,44.62,3.1,3.09,46.75517
LHERZOLITE,45.4,3.8,3.44,45.58434
LHERZOLITE,44.38,2.5,3.09,48.5215
LHERZOLITE,43.27,2.7,3.09,50.3
LHERZOLITE,46.68,2.79,3.1,44.2319
LHERZOLITE,43.37,3.17,3.44,49.02385
LHERZOLITE,43.74,3.08,3.58,47.43001
LHERZOLITE,44.5,3.1,3.51,47.31627
LHERZOLITE,43.69,3.04,3.491,48.61
LHERZOLITE,44.95,3.17,3.12,46.42
LHERZOLITE,45.1,2.74,3.12,47.09
LHERZOLITE,44.75,2.7,3.12,47.83231
LHERZOLITE,44.7,2.92,3.56,47.67486
LHERZOLITE,43.53,1.41,3.42,50.72992
LHERZOLITE,44.44,2.85,3.56,50.42898
LHERZOLITE,44.58,2.7,3.45,50.72797
LHERZOLITE,44.99,3.16,3.13,46.71665
LHERZOLITE,44.62,2.66,3.13,49.08
LHERZOLITE,44.15,4.57,3.14,45.62
LHERZOLITE,45.05,2.82,3.14,47.43
LHERZOLITE,44.98,3.26,3.64,47.65
LHERZOLITE,44.69,2.54,3.59,49.29
LHERZOLITE,45.09,3,3.5,49.52534
LHERZOLITE,44.66,2.75,3.15,47.21962
LHERZOLITE,44.87,2.76,3.5,46.74
LHERZOLITE,43.22,3.16,3.16,48.52
LHERZOLITE,44.22,2.6,3.5742,48.89434
LHERZOLITE,44.96,2.97,3.57,50.08312
LHERZOLITE,44.97,2.34,3.17,47.47254
LHERZOLITE,45.5,2.39,3.17,47.11919
LHERZOLITE,44.32,3.03,3.64,47.52031
LHERZOLITE,46.55,2.96,3.595,46.26
LHERZOLITE,44.03342667,2.7146265,3.170815482,49.06354237
LHERZOLITE,44.37,2.72,3.18,47.87585
LHERZOLITE,44.57,3.54,3.19,45.98209
LHERZOLITE,44.56,2.81,3.19,47.86837
LHERZOLITE,43.9,2.73,3.19,48.7511
LHERZOLITE,44.53,2.69,3.6,48.04
LHERZOLITE,45.2,3.28,3.2,46.08756
LHERZOLITE,44.22,2.92,3.58,48.4
LHERZOLITE,43.79,3.2,3.2,49.15
LHERZOLITE,44.48,3.23,3.21,46.88
LHERZOLITE,44.79,2.78,3.21,48.19494
LHERZOLITE,45.12,4.47,3.21,46.62
LHERZOLITE,44.4,2.42,3.22,47.93362
LHERZOLITE,43.8,3.08,3.22,48.09717
LHERZOLITE,44.95,3.17,3.64,47.23
LHERZOLITE,45.09,3.33,3.74,46.98
LHERZOLITE,44.55,2.87,3.59,48.49
LHERZOLITE,44.5,3.16,3.6,50.64919
LHERZOLITE,45.8,3.59,3.57,45.16747
LHERZOLITE,45.23,2.71,3.24,46.73
LHERZOLITE,43.82,3.12,3.24,51.17458
LHERZOLITE,45.24,2.78,3.25,47.96
LHERZOLITE,42.97,3.53,3.646,48.91
LHERZOLITE,45.27,3.11,3.25,47.79
LHERZOLITE,41.64,1.96,3.74,50.99905
LHERZOLITE,44.39,0.94,3.72,49.66598
LHERZOLITE,44.25,2.54,3.27,48.5292
LHERZOLITE,43.42,3.41,3.29,45.14911
LHERZOLITE,44.3,3.75,3.29,45.05382
LHERZOLITE,44.52,2.97,3.29,47.64
LHERZOLITE,44.23,2.47,3.63,48.3
LHERZOLITE,44.21127874,2.573072425,3.296399356,49.0396637
LHERZOLITE,45.08,2.95,3.3,45.61877
LHERZOLITE,44.6,2.9,3.3,48.3
LHERZOLITE,43.8,3.77,3.31,47.04494
LHERZOLITE,44.42,3.25,3.31,47.34901
LHERZOLITE,49.23,1.72,4.17,43.64627
LHERZOLITE,44.94,3,3.32,48.09
LHERZOLITE,43.02,2.58,3.33,47.43163
LHERZOLITE,44.94,3.48,3.33,47.7
LHERZOLITE,44.45,3.43,3.33,48.34
LHERZOLITE,44.1,2.83,3.34,47.4597
LHERZOLITE,44.63,2.7,3.34,47.46948
LHERZOLITE,45.1,3.08,3.71,47.51
LHERZOLITE,45.04,3.13,3.7,43.81174
LHERZOLITE,44.48,2.86,3.35,47.97453
LHERZOLITE,44.41,2.76,3.717,48.46
LHERZOLITE,44.65,2.94,3.35,48.89
LHERZOLITE,43.73831126,1.994296213,3.353790702,49.75772858
LHERZOLITE,43.66,3.59,3.71,47.12446
LHERZOLITE,47.1,3.69,3.36,44.73536
LHERZOLITE,43.48,3.17,3.74,44.83103
LHERZOLITE,45.29,3.1,3.73,45.70486
LHERZOLITE,44.14,3.25,3.37,47.62224
LHERZOLITE,44.58,2.51,3.37,47.95433
LHERZOLITE,43.94,3.3,3.37,48.13534
LHERZOLITE,44.76,3.55,3.73,47.79
LHERZOLITE,44.25,3.72,3.728,47.84
LHERZOLITE,43.8,2.83,3.4,46.92241
LHERZOLITE,44.18,2.98,3.75,46.71
LHERZOLITE,44.57,2.8,3.4,47.82737
LHERZOLITE,45.1,2.76,3.78,47.30951
LHERZOLITE,44.4,2.7,3.4,48.4
LHERZOLITE,44.4,2.34,3.4,48.67961
LHERZOLITE,44.45,2.83,3.75,47.07
LHERZOLITE,44.15,2.92,3.41,48.53484
LHERZOLITE,44.7,3.18,3.42,46.61
LHERZOLITE,44.77,2.52,3.42,47.87716
LHERZOLITE,44.26,2.78,3.42,48.38676
LHERZOLITE,44.35,3.05,3.82,47.75
LHERZOLITE,44.82,3.24,3.42,47.96
LHERZOLITE,44.94,3.69,3.43,45.33544
LHERZOLITE,45.67,3.85,3.43,45.59716
LHERZOLITE,45.44,3.22,3.43,47.68
LHERZOLITE,55.64,0.49,3.81,39.83
LHERZOLITE,43.72,1.11,3.8,51.12
LHERZOLITE,43.87,3.05,3.81,46.75322
LHERZOLITE,46.3,2.9,3.45,44.39345
LHERZOLITE,44.6,2.81,3.45,47.16503
LHERZOLITE,44.3,3.02,3.46,46.58312
LHERZOLITE,43.7,3.34,3.46,47.26181
LHERZOLITE,44.58,2.96,3.86,46.94
LHERZOLITE,42.28,4.59,3.47,43.44962
LHERZOLITE,43.8,3.09,3.47,47.20787
LHERZOLITE,43.37,2.72,3.47,48.39969
LHERZOLITE,44.77,2.87,3.47,48.12868
LHERZOLITE,45.61,3.24,3.47,47.34
LHERZOLITE,44.96,2.84,3.48,47.68403
LHERZOLITE,45.53,3.01,3.48,47.65
LHERZOLITE,44.06,3.73,3.49,44.41689
LHERZOLITE,43.07,2.64,3.49,47.78739
LHERZOLITE,44.3,2.85,3.49,47.1799
LHERZOLITE,44.79,3.21,3.84,46.12
LHERZOLITE,44.29,2.68,3.49,47.69574
LHERZOLITE,45.02,3.3,3.49,46.54103
LHERZOLITE,44.29,3.3,3.853,47.21
LHERZOLITE,45.92,6.86,3.49,43.14
LHERZOLITE,44.46,3.16,3.89,51.35697
LHERZOLITE,44.19816512,2.738610406,3.498089802,48.03669716
LHERZOLITE,44.79,3.08,3.5,46.91534
LHERZOLITE,42.6,0.79,3.5,51.79888
LHERZOLITE,46.5,3.43,3.5,44.87697
LHERZOLITE,44.5,3.2,3.5,48.2
LHERZOLITE,44.6,3.2,3.5,48
LHERZOLITE,44.69,3.16,3.9,49.82423
LHERZOLITE,44.2,3.22,3.9,46.68274
LHERZOLITE,44.1,2.89,3.51,48.02029
LHERZOLITE,45.16,3.13,3.51,46.8304
LHERZOLITE,42.62,3.19,3.52,45.07103
LHERZOLITE,44.48,3.23,3.52,46.37
LHERZOLITE,44.7,2.96,3.52,47.08909
LHERZOLITE,55.33,0.51,3.98,39.59
LHERZOLITE,45.33,4.63,3.53,42.71988
LHERZOLITE,44.5,2.74,3.53,46.65049
LHERZOLITE,45.36,3.7,3.53,45.79817
LHERZOLITE,45.19,3.18,3.91,46.5
LHERZOLITE,41.9,3.08,3.54,42.89
LHERZOLITE,44.1,3.73,3.54,46.18423
LHERZOLITE,44.5,3.23,3.98,46.2
LHERZOLITE,46.9,3.45,3.89,43.49666
LHERZOLITE,44.1,2.77,3.89,48.23364
LHERZOLITE,43.7,3.66,3.56,46.66514
LHERZOLITE,45.63,3.12,3.56,45.34109
LHERZOLITE,45,2.61,3.56,46.79766
LHERZOLITE,44.85,3.1,4.02,48.12
LHERZOLITE,44.25,3,3.58,46.33
LHERZOLITE,44.8,3.31,3.58,45.67746
LHERZOLITE,43.83,3.89,3.83,46.40842
LHERZOLITE,54.53,5,3.58,36.10255
LHERZOLITE,44.7,3.2,3.94,47.27
LHERZOLITE,44.8,2.99,4.01,48.14
LHERZOLITE,43.57,3.01,3.59,47.86001
LHERZOLITE,45.72,2.75,3.59,46.77
LHERZOLITE,44.67,2.99,3.6,46.8008
